PM2.5,PM10,NO,NO2,NOx,CO,SO2,AQI
0.125133,0.118118,0.013823,0.080646,0.074076,0.030829,0.409905,0.167976
0.096184,0.118118,0.013234,0.064716,0.061224,0.029521,0.131184,0.105108
0.100911,0.118118,0.026519,0.092822,0.094113,0.059041,0.155017,0.148821
0.145092,0.118118,0.051656,0.091027,0.113722,0.114897,0.112871,0.256876
0.095447,0.118118,0.046332,0.07101,0.093771,0.103066,0.092236,0.175344
0.114364,0.118118,0.043542,0.090723,0.106708,0.096866,0.116482,0.264244
0.103953,0.118118,0.045308,0.086113,0.104613,0.100791,0.134537,0.18664
0.153387,0.118118,0.052706,0.095803,0.11832,0.117229,0.12716,0.323183
0.188842,0.118118,0.133902,0.108807,0.196202,0.297651,0.201909,0.469548
0.179462,0.118118,0.0396,0.097211,0.103928,0.088106,0.175497,0.224951
0.214074,0.118118,0.0589,0.101104,0.127579,0.130994,0.486407,0.253438
0.097553,0.118118,0.033021,0.084594,0.093172,0.073488,0.217023,0.075375
0.068025,0.118118,0.01221,0.065765,0.061181,0.027245,0.177405,0.098232
0.082215,0.118118,0.027031,0.079845,0.08449,0.060179,0.231622,0.139489
0.105406,0.118118,0.082553,0.094285,0.142057,0.18355,0.142997,0.290766
0.155071,0.118118,0.088619,0.107924,0.157689,0.197031,0.23771,0.333006
0.217748,0.118118,0.371935,0.153672,0.429827,0.826574,0.105546,0.47053
0.120848,0.118118,0.09745,0.111264,0.167633,0.216654,0.118287,0.075375
0.094321,0.118118,0.013823,0.071066,0.066677,0.030829,0.231674,0.126228
0.054403,0.118118,0.004787,0.058366,0.04927,0.01075,0.192417,0.085953
0.057424,0.118118,0.005862,0.05058,0.044137,0.013139,0.098375,0.049607
0.048908,0.118118,0.003072,0.033379,0.028484,0.006939,0.070776,0.063851
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.128954,0.118118,0.193007,0.122004,0.255801,0.428986,0.071034,0.075375
0.154892,0.118118,0.084575,0.101767,0.149541,0.188044,0.109518,0.267191
0.225938,0.118118,0.146803,0.11651,0.212925,0.326318,0.114367,0.075375
0.218001,0.118118,0.072672,0.09746,0.129098,0.161595,0.259582,0.256876
0.201032,0.118118,0.101341,0.138321,0.191861,0.2253,0.210317,0.167485
0.202442,0.118118,0.023985,0.080149,0.08218,0.05341,0.150477,0.180747
0.134323,0.118118,0.017202,0.088073,0.082629,0.038337,0.138922,0.167976
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
